Dates;usdcop
05/07/2023;1,3282
06/07/2023;1,3368
07/07/2023;1,3274
10/07/2023;1,328
11/07/2023;1,3231
12/07/2023;1,3187
13/07/2023;1,311
14/07/2023;1,3216
17/07/2023;1,3199
18/07/2023;1,3169
19/07/2023;1,3164
20/07/2023;1,3172
21/07/2023;1,3224
24/07/2023;1,3168
25/07/2023;1,3172
26/07/2023;1,3208
27/07/2023;1,3224
28/07/2023;1,3237
31/07/2023;1,319
01/08/2023;1,3281
02/08/2023;1,335
03/08/2023;1,3353
04/08/2023;1,3379
07/08/2023;1,337
08/08/2023;1,3419
09/08/2023;1,3419
10/08/2023;1,3449
11/08/2023;1,344
14/08/2023;1,3461
15/08/2023;1,3498
16/08/2023;1,3533
17/08/2023;1,3546
18/08/2023;1,3553
21/08/2023;1,3544
22/08/2023;1,355
23/08/2023;1,3526
24/08/2023;1,3582
25/08/2023;1,3601
28/08/2023;1,3599
29/08/2023;1,3552
30/08/2023;1,3532
31/08/2023;1,3508
01/09/2023;1,3592
04/09/2023;1,3591
05/09/2023;1,3642
06/09/2023;1,3636
07/09/2023;1,3685
08/09/2023;1,364
11/09/2023;1,3573
12/09/2023;1,3553
13/09/2023;1,3549
14/09/2023;1,3508
15/09/2023;1,3525
18/09/2023;1,3486
19/09/2023;1,3448
20/09/2023;1,3462
21/09/2023;1,3483
22/09/2023;1,3483
25/09/2023;1,3454
26/09/2023;1,3517
27/09/2023;1,3498
28/09/2023;1,3487
29/09/2023;1,3577
02/10/2023;1,3676
03/10/2023;1,3708
04/10/2023;1,3745
05/10/2023;1,3705
06/10/2023;1,3661
09/10/2023;1,359
10/10/2023;1,3583
11/10/2023;1,3593
12/10/2023;1,369
13/10/2023;1,366
16/10/2023;1,3611
17/10/2023;1,3648
18/10/2023;1,3716
19/10/2023;1,3719
20/10/2023;1,3715
23/10/2023;1,3691
24/10/2023;1,3741
25/10/2023;1,3797
26/10/2023;1,3831
27/10/2023;1,387
30/10/2023;1,3826
31/10/2023;1,3875
01/11/2023;1,3856
02/11/2023;1,3739
03/11/2023;1,3658
06/11/2023;1,37
07/11/2023;1,3767
08/11/2023;1,3792
09/11/2023;1,3808
10/11/2023;1,3801
13/11/2023;1,3805
14/11/2023;1,3693
15/11/2023;1,3683
16/11/2023;1,3755
17/11/2023;1,3723
20/11/2023;1,3725
21/11/2023;1,3701
22/11/2023;1,3687
23/11/2023;1,3696
24/11/2023;1,3636
27/11/2023;1,3616
28/11/2023;1,3574
29/11/2023;1,3589
30/11/2023;1,3561
01/12/2023;1,3497
04/12/2023;1,3537
05/12/2023;1,3592
06/12/2023;1,3593
07/12/2023;1,3599
08/12/2023;1,3583
11/12/2023;1,3574
12/12/2023;1,3591
13/12/2023;1,3518
14/12/2023;1,3407
15/12/2023;1,338
18/12/2023;1,3399
19/12/2023;1,3333
20/12/2023;1,3369
21/12/2023;1,3283
22/12/2023;1,327
25/12/2023;1,3257
26/12/2023;1,3195
27/12/2023;1,3208
28/12/2023;1,3229
29/12/2023;1,3243
01/01/2024;1,3239
02/01/2024;1,3321
03/01/2024;1,3353
04/01/2024;1,335
05/01/2024;1,3363
08/01/2024;1,3348
09/01/2024;1,339
10/01/2024;1,3381
11/01/2024;1,3395
12/01/2024;1,341
15/01/2024;1,3428
16/01/2024;1,3495
17/01/2024;1,3506
18/01/2024;1,3487
19/01/2024;1,3429
22/01/2024;1,3479
23/01/2024;1,3462
24/01/2024;1,3524
25/01/2024;1,3475
26/01/2024;1,3453
29/01/2024;1,3414
30/01/2024;1,3398
31/01/2024;1,3435
01/02/2024;1,3386
02/02/2024;1,3463
05/02/2024;1,354
06/02/2024;1,3492
07/02/2024;1,3463
08/02/2024;1,3458
09/02/2024;1,346
12/02/2024;1,3451
13/02/2024;1,3564
14/02/2024;1,3544
15/02/2024;1,3465
16/02/2024;1,3485
19/02/2024;1,3491
20/02/2024;1,3523
21/02/2024;1,3506
22/02/2024;1,3482
23/02/2024;1,3505
26/02/2024;1,3505
27/02/2024;1,3528
28/02/2024;1,3577
29/02/2024;1,3579
01/03/2024;1,3561
04/03/2024;1,3574
05/03/2024;1,3593
06/03/2024;1,3514
07/03/2024;1,3459
08/03/2024;1,3483
11/03/2024;1,3483
12/03/2024;1,3491
13/03/2024;1,3471
14/03/2024;1,3533
15/03/2024;1,3542
18/03/2024;1,3534
19/03/2024;1,3567
20/03/2024;1,3492
21/03/2024;1,3531
22/03/2024;1,3604
25/03/2024;1,3586
26/03/2024;1,3584
27/03/2024;1,3568
28/03/2024;1,354
29/03/2024;1,354
01/04/2024;1,357
02/04/2024;1,3567
03/04/2024;1,3527
04/04/2024;1,3543
05/04/2024;1,359
